iso3,ano,asr_dalys_(anos_de_vida_perdidos_ajustados_por_incapacidade),asr_deaths,asr_incidence,asr_ylds_(anos_vividos_com_incapacidade),asr_ylls_(anos_de_vida_perdidos_por_morte_prematura),alfabetizacao_adultos_pct,expectativa_vida,pib_per_capita,urbanizacao_pct
ABW,2010,,,,,,96.8199996948242,74.297,24093.1401510626,64.1612965549477
ABW,2011,,,,,,,74.578,25712.3843015186,63.9992605838571
ABW,2012,,,,,,,74.841,25119.6655449838,63.8252085199599
ABW,2013,,,,,,,75.072,25813.5714408438,63.6382914355326
ABW,2014,,,,,,,75.261,26129.8390617693,63.4392531303795
ABW,2015,,,,,,,75.405,27458.2201537506,63.2288374043053
ABW,2016,,,,,,,75.54,27441.5502144601,63.0077880571142
ABW,2017,,,,,,,75.62,28440.0416881491,62.7768488886109
ABW,2018,,,,,,,75.88,30082.1584226798,62.5367636985996
ABW,2019,,,,,,,76.019,30654.4851235397,62.288276286885
ABW,2020,,,,,,,75.406,22664.3709949437,62.0028837566365
ABW,2021,,,,,,,73.655,26827.3447869986,61.9275339886843
ABW,2022,,,,,,,76.226,31000.5713798732,61.8811657924257
ABW,2023,,,,,,,76.353,34897.6183932009,61.8351492675589
AFE,2010,,,,,,64.7099990844727,58.8272792062821,1628.76857300184,32.5903609820214
AFE,2011,,,,,,66.8300018310547,59.2000040300701,1761.83829586572,32.9380985869792
AFE,2012,,,,,,68.5199966430664,60.2495123598467,1731.86909640114,33.2867060801392
AFE,2013,,,,,,69.370002746582,60.895739752772,1705.83900348854,33.6673142772775
AFE,2014,,,,,,69.8300018310547,61.251436015671,1689.98238051624,34.0775774023013
AFE,2015,,,,,,70.2399978637695,61.713030523495,1498.71597073834,34.4906809355644
AFE,2016,,,,,,70.9599990844727,62.1679813169199,1335.7431649955,34.8812106693274
AFE,2017,,,,,,70.879997253418,62.5912750961501,1529.92307995549,35.2829868326458
AFE,2018,,,,,,71.6699981689453,63.3306913582336,1553.61794421394,35.714718464725
AFE,2019,,,,,,72.8000030517578,63.8572612837043,1508.0315245887,36.0973307017698
AFE,2020,,,,,,72.9800033569336,63.7664840026943,1351.50316694933,36.4883219609866
AFE,2021,,,,,,72.7200012207031,62.9799991857494,1560.89462580275,36.9085426088518
AFE,2022,,,,,,73.0599975585938,64.4871517904367,1675.90252377611,37.3605781096471
AFE,2023,,,,,,73.370002746582,65.1462279163724,1571.13270407815,37.7723012408349
AFG,2010,99.01313234062408,4.589513418262554,4.45299390908,1.2016252377,97.8115071341642,,60.702,560.621505463146,22.2614799010924
AFG,2011,95.87813908967672,4.459339879093509,4.33251107532,1.17417763101,94.70396148919552,31.4500007629394,61.25,606.694676337726,22.8205691572485
AFG,2012,92.86198398164272,4.333444148862437,4.21331866885,1.14408570543,91.71789830595613,,61.735,651.417134470046,23.3434391310979
AFG,2013,90.08371290489126,4.213402752434683,4.0998736437700005,1.11765213877,88.96606079518384,,62.188,637.087099117099,23.8077136743646
AFG,2014,88.96690165241806,4.1794715584117,4.06723212293,1.1111301507,87.85577153061156,,62.26,625.054941813938,24.1910166387726
AFG,2015,88.76131702553616,4.172740475898563,4.07281705222,1.11353910262,87.6477779518676,33.75,62.27,565.569730408751,24.4649118421568
AFG,2016,89.14103210955913,4.197822619090243,4.11378506504,1.1287645027100002,88.01226763619881,,62.646,522.082215583898,24.6588345720126
AFG,2017,89.11947262724131,4.203073636391587,4.13768436425,1.14006862807,87.97940402881514,,62.406,525.469770891619,24.8352821238871
AFG,2018,88.28237553925585,4.170138805003743,4.12146736038,1.14370198505,87.1386735839463,,62.443,491.337221382603,24.9991645191406
AFG,2019,88.44807003734297,4.181665267480481,4.15489747922,1.16016593579,87.2879041317201,,62.941,496.6025042585,25.1437258839803
AFG,2020,89.15858553587032,4.253555258934441,4.23949366235,1.11983577614,88.0387497888433,36.0149650316607,61.454,510.787063366811,25.2622103446137
AFG,2021,82.7620837919567,3.9627762074706574,3.96641573638,1.1078856277,81.65419819305737,37.2700004577637,60.417,356.496214115892,25.3478620272481
AFG,2022,81.72650495842186,3.9007408556930008,3.915918348980001,1.11874979955,80.60775518795703,,65.617,357.261152798144,25.3939250580909
AFG,2023,81.68279025046647,3.899794707921464,3.91967894995,1.09616691562,80.58662336334515,,66.035,413.757894705303,25.4730529631167
AFW,2010,,,,,,51.3899993896484,54.6006466175842,1664.49204549878,44.7340356184081
AFW,2011,,,,,,52.439998626709,54.961240165203,1846.10292552744,45.306921990073
AFW,2012,,,,,,53.0,55.2898561158278,1943.37255535786,45.8819111655464
AFW,2013,,,,,,53.8400001525879,55.5516641369456,2134.24752369303,46.4556737847896
AFW,2014,,,,,,54.5400009155273,55.691576869905,2224.32958643376,47.0323463433828
AFW,2015,,,,,,55.4099998474121,56.0339962553159,1863.40151301991,47.6135647497926
AFW,2016,,,,,,55.8699989318848,56.3875627997136,1632.42497788744,48.1862744131428
AFW,2017,,,,,,56.8800010681152,56.6207642286762,1577.20349674013,48.7610092648065
AFW,2018,,,,,,60.3499984741211,57.0307711269764,1723.11446346681,49.3326762524323
AFW,2019,,,,,,60.1399993896484,57.1428268060515,2219.41255534667,49.9054685471984
AFW,2020,,,,,,60.25,57.3577091392887,2034.43793971923,50.4923214842153
AFW,2021,,,,,,60.5099983215332,57.3550150454372,2116.9382941844,51.0894191806819
AFW,2022,,,,,,60.7799987792969,57.9789954665232,2143.07209365676,51.7001028474527
AFW,2023,,,,,,61.0299987792969,58.8474833840405,1846.24681069313,52.3021093132307
AGO,2010,161.1308546322561,6.4618688365975965,6.241534949349999,1.62314585037,159.50770882408546,,57.242,4101.63715564669,60.1310289535053
AGO,2011,159.99843715303234,6.410093372729625,6.1943825773,1.61577745325,158.38265974179632,,58.093,5184.15269151846,60.8431610396073
AGO,2012,157.64979898949812,6.310999928575289,6.10112263031,1.61177905921,156.03801997219557,,58.916,5702.45306277434,61.5114223949332
AGO,2013,157.93825198110275,6.295538557022518,6.09630024574,1.61764100814,156.32061101502367,,59.705,5688.57916213471,62.1333075212361
AGO,2014,159.5165886381875,6.327248516609201,6.140165569520001,1.63299887837,157.8835898022781,66.0299987792969,60.396,5649.68762467535,62.723115793241
AGO,2015,158.1670384938938,6.270647421168118,6.08876525747,1.61309968902,156.5539388468117,66.2399978637695,61.042,3641.72893920253,63.51567832685
AGO,2016,154.10040445221625,6.123730818690604,5.94316451555,1.5850247105500002,152.5153797828779,,61.619,2082.37343594705,64.2992302517989
AGO,2017,151.77111150859008,6.039754917094489,5.86033692032,1.55723659124,150.2138749578376,,62.122,2832.14997950512,65.0850525086068
AGO,2018,149.46456007468026,5.950803584417616,5.7751723662600005,1.5270471171199995,147.9375129972595,,62.622,2891.83032378747,65.8732136723372
AGO,2019,148.27742192092683,5.910262682589047,5.73725659067,1.519363875,146.7580580854308,,63.051,2507.86807213642,66.6637823180533
AGO,2020,148.66985489448035,5.972413252302133,5.78448327559,1.52973144423,147.14012349001845,,63.116,1749.1794838482,67.4568270208187
AGO,2021,154.71403155408186,6.193161821165639,6.00977661568,1.5594410119300002,153.1545905826984,,62.958,2266.96834861584,68.2524163556969
AGO,2022,161.1260784907064,6.379688316796145,6.218161198020001,1.6054761267400002,159.52060240571245,,64.246,3598.53669077341,69.0506188977513
AGO,2023,170.5023734278853,6.727292245939855,6.56834906292,1.67577474256,168.82659872889798,68.1800003051758,64.617,2885.51349130806,69.8515032220457
ALB,2010,36.744184289910486,1.521880038290227,1.48981485429,0.42614470729,36.318039593701,,78.414,4149.14469936847,51.8815774292716
ALB,2011,36.24755888492279,1.4982274167421203,1.46684200031,0.42003331034,35.82752558550285,96.8499984741211,78.303,4465.70914328865,53.2917382892465
ALB,2012,36.46924195277215,1.5039026855310194,1.47300505578,0.42260390029,36.046638063472514,97.25,78.084,4280.93316338873,53.8637553661449
ALB,2013,36.91852299546751,1.5175372815586765,1.48787185226,0.42794335642,36.49057965017307,,77.995,4542.92903556739,54.2979678058548
ALB,2014,37.51138603793379,1.5372800354911684,1.50937068476,0.4338048688399999,37.07758118037011,,78.029,4793.59751131525,54.7325813178673
ALB,2015,38.33796667238311,1.5654050393381564,1.53908443743,0.4429906336599999,37.89497605023973,,78.358,4199.53912925398,55.1579291374894
ALB,2016,38.95139150328648,1.5850971161389622,1.56086473677,0.44949116172,38.501900353253774,,78.643,4457.63412207495,55.5738734464276
